,BlockIDs,CodaViolation,Condition,Correct,EndTime,HIT,ItemID,Iteration,OnsetViolation,OptionOrder,OptionResources,OptionTexts,PageID,PageResources,PageText,Permutation,SelectedID,SelectedPosition,SelectedText,StartTime,TrialNumber,UniqueID,Version,Vowel,WorkerID,type,ReactionTime
0,[u'1'],,,,1424725837934,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,,1,,,,,0,[],"In this experiment, you will be shown pairs of made-up words.
Pronounce the words to yourself. Based on how they sound, choose the one that you find more
English-like.",0,,,,1424725836039,0,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,,A2LD8A4LBTYELX,,1895
1,[u'3'],,,,1424725839732,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,,1,,,,,2,[],"During experimental questions, you will not be able to use your mouse. Use
the F key to choose the option on the left, the J key to choose the option
on the right, and the spacebar to move forward.",0,,,,1424725837938,1,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,,A2LD8A4LBTYELX,,1794
2,[u'340'],True,BB,[None],1424725844637,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,10,1,True,"[u'134', u'133']","[[], []]","[u'blelth', u'shnozb']",135,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'134'],[0],[u'blelth'],1424725839738,2,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,o,A2LD8A4LBTYELX,"[u'filler', u'test']",4899
3,[u'340'],True,GB,[None],1424725847835,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,8,1,False,"[u'104', u'103']","[[], []]","[u'flelg', u'drefsh']",105,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'104'],[0],[u'flelg'],1424725844641,3,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,e,A2LD8A4LBTYELX,"[u'filler', u'test']",3194
4,[u'340'],True,BB,[None],1424725849949,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,18,1,True,"[u'230', u'229']","[[], []]","[u'throth', u'vnathk']",231,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'230'],[0],[u'throth'],1424725847839,4,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,a,A2LD8A4LBTYELX,"[u'filler', u'test']",2110
5,[u'340'],False,GG,[None],1424725851549,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,19,1,False,"[u'233', u'232']","[[], []]","[u'trilb', u'frep']",234,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'232'],[1],[u'frep'],1424725849951,5,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,e,A2LD8A4LBTYELX,"[u'filler', u'test']",1598
6,[u'340'],True,BB,[None],1424725855045,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,6,1,True,"[u'86', u'85']","[[], []]","[u'smim', u'shlashk']",87,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'86'],[0],[u'smim'],1424725851552,6,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,a,A2LD8A4LBTYELX,"[u'filler', u'test']",3493
7,[u'340'],False,BG,[None],1424725858084,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,17,1,True,"[u'215', u'214']","[[], []]","[u'shrelth', u'fnooz']",216,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'215'],[0],[u'shrelth'],1424725855047,7,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,oo,A2LD8A4LBTYELX,"[u'filler', u'test']",3037
8,[u'340'],False,BG,[None],1424725863348,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,13,1,True,"[u'166', u'167']","[[], []]","[u'vreb', u'fashk']",168,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'167'],[1],[u'fashk'],1424725858086,8,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,e,A2LD8A4LBTYELX,"[u'test', u'filler']",5262
9,[u'340'],False,BG,[None],1424725864972,3ULIZ0H1VA5SWO1L6NNGDDGYXGS15G,9,1,True,"[u'119', u'118']","[[], []]","[u'sloond', u'shkun']",120,[],"Based on how they sound, which of these two words is more likely to be a word of English?",0,[u'119'],[0],[u'sloond'],1424725863351,9,A2LD8A4LBTYELX:3P4RDNWND56DQDAYTZHIV6B8B4VIJ1,1,u,A2LD8A4LBTYELX,"[u'filler', u'test']",1621
