,PageID,SelectedText,WorkerID
30,473,"[u'I used my first instinct, which words looked and sounded most similar to English words ']",A122DBB2YH0XY4
31,469,[u'English'],A122DBB2YH0XY4
32,467,[u'English'],A122DBB2YH0XY4
35,471,[u'America'],A122DBB2YH0XY4
67,473,"[u'Looking at how the word was formed. Two consonents followed by a vowel in the beginning is standard, but three consonants at the beginning of a word seems awkward.']",A131GB4SY09Q5N
68,467,[u'english'],A131GB4SY09Q5N
70,469,[u'english'],A131GB4SY09Q5N
71,471,[u'united states'],A131GB4SY09Q5N
105,467,[u'English'],A13BM5CJGCYU3S
106,473,[u'phonics'],A13BM5CJGCYU3S
107,471,[u'California'],A13BM5CJGCYU3S
109,469,[u'English'],A13BM5CJGCYU3S
141,473,[u'they sounded easily pronouncible'],A14HQNH7COGDK2
142,471,[u'California'],A14HQNH7COGDK2
143,469,[u'English'],A14HQNH7COGDK2
145,467,[u'English'],A14HQNH7COGDK2
217,469,[u'English'],A150GMV1YQWWB3
218,471,[u'USA'],A150GMV1YQWWB3
219,473,[u'Whatever sounded more natural when I spoke it. '],A150GMV1YQWWB3
220,467,[u'English'],A150GMV1YQWWB3
253,473,"[u'Gut instinct, how common the consonant combinations were, and if any sounded like an English word I knew.']",A16AVRDSVD10B6
254,467,[u'English'],A16AVRDSVD10B6
255,471,[u'America'],A16AVRDSVD10B6
257,469,[u'English'],A16AVRDSVD10B6
290,467,[u'english'],A177EXELDLWTWV
291,473,[u'none'],A177EXELDLWTWV
292,471,[u'usa'],A177EXELDLWTWV
294,469,[u'english'],A177EXELDLWTWV
326,467,[u'English'],A19FK8L3UPPO17
328,469,[u'English'],A19FK8L3UPPO17
330,473,[u'I picked what sounded closest to actual English words.'],A19FK8L3UPPO17
331,471,[u'USA'],A19FK8L3UPPO17
364,471,[u'United states'],A19TPHS27IO1CG
365,473,[u'tried to say them phonetically'],A19TPHS27IO1CG
367,469,[u'english'],A19TPHS27IO1CG
368,467,[u'english'],A19TPHS27IO1CG
401,473,[u'what sounded most like an exsisting word'],A1AVXGO6VIGH7D
402,467,[u'english'],A1AVXGO6VIGH7D
403,469,[u'english'],A1AVXGO6VIGH7D
405,471,[u'america'],A1AVXGO6VIGH7D
476,469,[u'English'],A1DJDT4B5B19Q2
477,473,[u'which ones sounded more natural'],A1DJDT4B5B19Q2
478,467,[u'English'],A1DJDT4B5B19Q2
479,471,[u'the midwest'],A1DJDT4B5B19Q2
511,469,[u'English'],A1E0GR2W1GJO0E
512,467,[u'English'],A1E0GR2W1GJO0E
513,471,[u'India'],A1E0GR2W1GJO0E
514,473,[u'whether or not they sounded English'],A1E0GR2W1GJO0E
549,469,[u'english'],A1HEUEDPR3L0F3
550,473,[u'what was the easiest to pronounce'],A1HEUEDPR3L0F3
552,467,[u'english'],A1HEUEDPR3L0F3
553,471,[u'usa'],A1HEUEDPR3L0F3
585,471,[u'United States'],A1HH2KZIFLXRJL
586,473,[u'I chose words that were easier to pronounce'],A1HH2KZIFLXRJL
589,469,[u'English'],A1HH2KZIFLXRJL
590,467,[u'English'],A1HH2KZIFLXRJL
623,471,[u'Pennsylvania'],A1IZAAWW80IWQ1
624,469,[u'English'],A1IZAAWW80IWQ1
625,467,[u'English'],A1IZAAWW80IWQ1
626,473,[u'I chose the words that were the easiest to pronounce'],A1IZAAWW80IWQ1
659,467,[u'English'],A1JXSNKXAXT9OU
662,469,[u'English'],A1JXSNKXAXT9OU
663,471,[u'United States'],A1JXSNKXAXT9OU
