,Alternates,BlockIDs,Condition,Correct,EndTime,HIT,Iteration,Number,OptionOrder,OptionResources,OptionTexts,PageID,PageResources,PageText,Permutation,Segment,SelectedID,SelectedPosition,SelectedText,StartTime,TrialNumber,UniqueID,Version,Violates,Wordbank,WorkerID,alternates,nasal_segment,segment,voice_segment,ReactionTime
0,,[u'561'],,,1425429250622,debug672C0D,1,,,,,560,[],"During experimental questions, you will not be able to use your mouse. Use
the F key to choose the option on the left, the J key to choose the option
on the right, and the spacebar to move forward.",0,,,,,1425429249233,0,debugCW0X60:debugFVUTHZ,0,,,debugCW0X60,,,,,1389
1,,[u'563'],,,1425429251741,debug672C0D,1,,,,,562,[],"In this part of the experiment, you will learn words
from a made-up language. Their meanings will be expressed through pictures.

You will see a picture with two words and be asked to choose which word has the
meaning shown by the picture. At first you will just be guessing, but that's
okay. Try to remember the right answer, and you'll get better with practice.

Remember: in this language, ""ng"" is always pronounced as in ""singer"", never
as in ""finger"".",0,,,,,1425429250627,1,debugCW0X60:debugFVUTHZ,0,,,debugCW0X60,,,,,1114
2,,"[u'402', u'400']",nasal,[False],1425429278835,debug672C0D,1,"[u'singular', u'singular']","[u'177', u'176']","[[], []]","[u'sumen', u'pitang']",179,[u'static/images/stim/dragonfly.png'],Which word is represented by this picture?,0,,[u'177'],[0],[u'sumen'],1425429251749,2,debugCW0X60:debugFVUTHZ,0,,"[u'words2', u'words2']",debugCW0X60,,,,,27086
3,,"[u'402', u'400']",,,1425429279811,debug672C0D,1,,,,,178,[u'static/images/stim/dragonfly.png'],pitang means:,0,,,,,1425429278841,3,debugCW0X60:debugFVUTHZ,0,,,debugCW0X60,,,,,970
4,,"[u'402', u'400']",voice,[False],1425429282010,debug672C0D,1,"[u'plural', u'plural']","[u'85', u'84']","[[], []]","[u'nemapfa', u'fetapfa']",87,[u'static/images/stim/mushroom-pl.png'],Which word is represented by this picture?,0,,[u'85'],[0],[u'nemapfa'],1425429279815,4,debugCW0X60:debugFVUTHZ,0,,"[u'words1', u'words1']",debugCW0X60,,,,,2195
5,,"[u'402', u'400']",,,1425429283219,debug672C0D,1,,,,,86,[u'static/images/stim/mushroom-pl.png'],fetapfa means:,0,,,,,1425429282013,5,debugCW0X60:debugFVUTHZ,0,,,debugCW0X60,,,,,1206
6,,"[u'402', u'400']",voice,[False],1425429284562,debug672C0D,1,"[u'singular', u'singular']","[u'53', u'52']","[[], []]","[u'sangotfa', u'sangod']",55,[u'static/images/stim/apple.png'],Which word is represented by this picture?,0,,[u'53'],[0],[u'sangotfa'],1425429283223,6,debugCW0X60:debugFVUTHZ,0,,"[u'words1', u'words1']",debugCW0X60,,,,,1339
7,,"[u'402', u'400']",,,1425429285451,debug672C0D,1,,,,,54,[u'static/images/stim/apple.png'],sangod means: ,0,,,,,1425429284564,7,debugCW0X60:debugFVUTHZ,0,,,debugCW0X60,,,,,887
8,,"[u'402', u'400']",voice,[False],1425429286657,debug672C0D,1,"[u'plural', u'plural']","[u'97', u'96']","[[], []]","[u'dungipfa', u'nemapfa']",99,[u'static/images/stim/elephant-pl.png'],Which word is represented by this picture?,0,,[u'97'],[0],[u'dungipfa'],1425429285454,8,debugCW0X60:debugFVUTHZ,0,,"[u'words1', u'words1']",debugCW0X60,,,,,1203
9,,"[u'402', u'400']",,,1425429287906,debug672C0D,1,,,,,98,[u'static/images/stim/elephant-pl.png'],nemapfa means:,0,,,,,1425429286658,9,debugCW0X60:debugFVUTHZ,0,,,debugCW0X60,,,,,1248
