,Alternates,BlockIDs,Condition,Correct,EndTime,ExperimentVersion,HIT,Iteration,Number,OptionOrder,OptionResources,OptionTexts,PageID,PageResources,PageText,PageType,Permutation,Segment,SelectedID,SelectedPosition,SelectedText,StartTime,TrialNumber,UniqueID,Version,Violates,Wordbank,WorkerID,ReactionTime
0,,[u'641'],,,1427999363556,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,640,[],"During experimental questions, you will not be able to use your mouse. Use
the F key to choose the option on the left, the J key to choose the option
on the right, and the spacebar to move forward.",,1,,,,,1427999358637,0,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,4919
1,,[u'643'],,,1427999387979,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,642,[],"In this part of the experiment, you will learn words
from a made-up language. Their meanings will be expressed through pictures.
<br><br>
You will see a picture with two words and be asked to choose which word has the
meaning shown by the picture. At first you will just be guessing, but that's
okay. Try to remember the right answer, and you'll get better with practice.
<br><br>
Remember: in this language, ""ng"" is always pronounced as in ""singer"", never
as in ""finger"".",,1,,,,,1427999363559,1,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,24420
2,,"[u'485', u'483']",nasal,[True],1427999397488,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'plural', u'plural']","[u'284', u'285']","[[], []]","[u'pitamfa', u'nangumfa']",287,[u'static/images/stim/xylophone-pl.png'],Which word is represented by this picture?,Lexical,1,,[u'284'],[0],[u'pitamfa'],1427999388027,2,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words2', u'words2']",A130UW3VJCW7A0,9461
3,,"[u'485', u'483']",,,1427999397596,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,286,[u'static/images/stim/xylophone-pl.png'],pitamfa means:,,1,,,,,1427999397495,3,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,101
4,,"[u'485', u'483']",nasal,[False],1427999402035,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'plural', u'singular']","[u'257', u'256']","[[], []]","[u'mepfimfa', u'mepfing']",259,[u'static/images/stim/goose.png'],Which word is represented by this picture?,Number,1,,[u'257'],[0],[u'mepfimfa'],1427999397614,4,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words2', u'words2']",A130UW3VJCW7A0,4421
5,,"[u'485', u'483']",,,1427999405065,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,258,[u'static/images/stim/goose.png'],mepfing means: ,,1,,,,,1427999402040,5,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,3025
6,,"[u'485', u'483']",nasal,[True],1427999410239,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'singular', u'plural']","[u'240', u'241']","[[], []]","[u'fangun', u'fangumfa']",243,[u'static/images/stim/dragonfly.png'],Which word is represented by this picture?,Number,1,,[u'240'],[0],[u'fangun'],1427999405083,6,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words2', u'words2']",A130UW3VJCW7A0,5156
7,,"[u'485', u'483']",,,1427999412144,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,242,[u'static/images/stim/dragonfly.png'],fangun means: ,,1,,,,,1427999410246,7,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,1898
8,,"[u'485', u'483']",voice,[False],1427999414892,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'singular', u'singular']","[u'17', u'16']","[[], []]","[u'poneb', u'sangod']",19,[u'static/images/stim/foot.png'],Which word is represented by this picture?,Lexical,1,,[u'17'],[0],[u'poneb'],1427999412161,8,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words1', u'words1']",A130UW3VJCW7A0,2731
9,,"[u'485', u'483']",,,1427999415818,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,18,[u'static/images/stim/foot.png'],sangod means:,,1,,,,,1427999414899,9,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,919
10,,"[u'485', u'483']",plural,[False],1427999419314,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'plural', u'plural']","[u'364', u'365']","[[], []]","[u'lotapfa', u'funepfa']",367,[u'static/images/stim/apple-pl.png'],Which word is represented by this picture?,Lexical,1,,[u'365'],[1],[u'funepfa'],1427999415846,10,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'plural_words', u'plural_words']",A130UW3VJCW7A0,3468
11,,"[u'485', u'483']",,,1427999420219,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,366,[u'static/images/stim/apple-pl.png'],lotapfa means:,,1,,,,,1427999419330,11,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,889
12,,"[u'485', u'483']",voice,[False],1427999423574,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,"[u'singular', u'singular']","[u'1', u'0']","[[], []]","[u'dungib', u'tamdid']",3,[u'static/images/stim/egg.png'],Which word is represented by this picture?,Lexical,1,,[u'1'],[0],[u'dungib'],1427999420239,12,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,"[u'words1', u'words1']",A130UW3VJCW7A0,3335
13,,"[u'485', u'483']",,,1427999424347,1.0,3JU8CV4BRLCHLQQ5W5Z1N3K6SNHOPS,1,,,,,2,[u'static/images/stim/egg.png'],tamdid means:,,1,,,,,1427999423581,13,A130UW3VJCW7A0:35H6S234SA0PQU0C2W9VXHPHUZR65D,0,,,A130UW3VJCW7A0,766
