,PageID,PageText,BlockIDs,StartTime,EndTime,Iteration,Condition,SelectedID,SelectedText,Correct,OptionOrder,SelectedPosition,UniqueID,TrialNumber,Version,Permutation,HIT,WorkerID,ReactionTime
0,338,"During experimental questions, you will not be able to use your mouse. Use
the F key to choose the option on the left, the J key to choose the option
on the right, and the spacebar to move forward.",[u'339'],1422936274525,1422936276128,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,0,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,1603
1,340,"In this part of the experiment, you will learn words
from a made-up language. Their meanings will be expressed through pictures. You
will see a picture with two words and be asked to choose which word has the
meaning shown by the picture. At first you will just be guessing, but that's
okay. Try to remember the right answer, and you'll get better with practice.",[u'341'],1422936276132,1422936276606,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,1,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,474
2,139,Which word is represented by this picture?,"[u'261', u'259']",1422936276615,1422936279822,1,2,[u'137'],[u'gikem'],[False],"[u'137', u'136']",[0],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,2,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,3207
3,138,lilan means:,"[u'261', u'259']",1422936279826,1422936281302,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,3,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,1476
4,187,Which word is represented by this picture?,"[u'261', u'259']",1422936281306,1422936283774,1,both,[u'184'],[u'gikem'],[True],"[u'184', u'185']",[0],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,4,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,2468
5,186,gikem means: ,"[u'261', u'259']",1422936283776,1422936284645,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,5,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,869
6,207,Which word is represented by this picture?,"[u'261', u'259']",1422936284648,1422936287157,1,both,[u'204'],[u'belingfa'],[True],"[u'205', u'204']",[1],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,6,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,2509
7,206,belingfa means:,"[u'261', u'259']",1422936287158,1422936288990,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,7,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,1832
8,227,Which word is represented by this picture?,"[u'261', u'259']",1422936288994,1422936291252,1,2,[u'224'],[u'gutonfa'],[True],"[u'224', u'225']",[0],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,8,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,2258
9,226,gutonfa means: ,"[u'261', u'259']",1422936291253,1422936291926,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,9,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,673
10,167,Which word is represented by this picture?,"[u'261', u'259']",1422936291929,1422936293604,1,2,[u'164'],[u'bubap'],[True],"[u'165', u'164']",[1],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,10,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,1675
11,166,bubap means: ,"[u'261', u'259']",1422936293606,1422936294173,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,11,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,567
12,131,Which word is represented by this picture?,"[u'261', u'259']",1422936294176,1422936296069,1,2,[u'128'],[u'guton'],[True],"[u'128', u'129']",[0],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,12,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,1893
13,130,guton means:,"[u'261', u'259']",1422936296071,1422936296500,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,13,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,429
14,163,Which word is represented by this picture?,"[u'261', u'259']",1422936296504,1422936298332,1,2,[u'160'],[u'guton'],[True],"[u'161', u'160']",[1],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,14,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,1828
15,162,guton means: ,"[u'261', u'259']",1422936298334,1422936298925,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,15,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,591
16,223,Which word is represented by this picture?,"[u'261', u'259']",1422936298930,1422936302431,1,both,[u'220'],[u'kanitfa'],[True],"[u'220', u'221']",[0],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,16,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,3501
17,222,kanitfa means:,"[u'261', u'259']",1422936302433,1422936302845,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,17,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,412
18,231,Which word is represented by this picture?,"[u'261', u'259']",1422936302852,1422936304348,1,2,[u'228'],[u'bubapfa'],[True],"[u'229', u'228']",[1],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,18,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,1496
19,230,bubapfa means: ,"[u'261', u'259']",1422936304350,1422936304725,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,19,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,375
20,159,Which word is represented by this picture?,"[u'261', u'259']",1422936304729,1422936306171,1,both,[u'156'],[u'kanit'],[True],"[u'156', u'157']",[0],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,20,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,1442
21,158,kanit means:,"[u'261', u'259']",1422936306173,1422936306557,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,21,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,384
22,243,Which word is represented by this picture?,"[u'261', u'259']",1422936306560,1422936308843,1,both,[u'240'],[u'nodolfa'],[True],"[u'241', u'240']",[1],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,22,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,2283
23,242,nodolfa means: ,"[u'261', u'259']",1422936308845,1422936309252,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,23,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,407
24,239,Which word is represented by this picture?,"[u'261', u'259']",1422936309255,1422936310452,1,both,[u'236'],[u'belingfa'],[True],"[u'237', u'236']",[1],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,24,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,1197
25,238,belingfa means: ,"[u'261', u'259']",1422936310454,1422936310844,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,25,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,390
26,135,Which word is represented by this picture?,"[u'261', u'259']",1422936310848,1422936312347,1,2,[u'132'],[u'bubap'],[True],"[u'132', u'133']",[0],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,26,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,1499
27,134,bubap means:,"[u'261', u'259']",1422936312348,1422936312788,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,27,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,440
28,183,Which word is represented by this picture?,"[u'261', u'259']",1422936312792,1422936314459,1,both,[u'180'],[u'peguk'],[True],"[u'180', u'181']",[0],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,28,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,1667
29,182,peguk means: ,"[u'261', u'259']",1422936314461,1422936314867,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,29,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,406
30,219,Which word is represented by this picture?,"[u'261', u'259']",1422936314871,1422936316860,1,both,[u'216'],[u'gikemfa'],[True],"[u'216', u'217']",[0],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,30,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,1989
31,218,gikemfa means:,"[u'261', u'259']",1422936316862,1422936317540,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,31,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,678
32,255,Which word is represented by this picture?,"[u'261', u'259']",1422936317543,1422936318859,1,both,[u'252'],[u'kanitfa'],[True],"[u'252', u'253']",[0],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,32,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,1316
33,254,kanitfa means: ,"[u'261', u'259']",1422936318860,1422936319203,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,33,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,343
34,175,Which word is represented by this picture?,"[u'261', u'260']",1422936319207,1422936320715,1,both,[u'172'],[u'beling'],[True],"[u'172', u'173']",[0],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,34,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,1508
35,174,beling means: ,"[u'261', u'260']",1422936320717,1422936321068,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,35,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,351
36,143,Which word is represented by this picture?,"[u'261', u'260']",1422936321071,1422936322715,1,both,[u'140'],[u'beling'],[True],"[u'141', u'140']",[1],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,36,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,1644
37,142,beling means:,"[u'261', u'260']",1422936322716,1422936323075,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,37,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,359
38,195,Which word is represented by this picture?,"[u'261', u'260']",1422936323077,1422936325403,1,2,[u'192'],[u'gutonfa'],[True],"[u'193', u'192']",[1],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,38,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,2326
39,194,gutonfa means:,"[u'261', u'260']",1422936325404,1422936325804,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,39,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,400
40,171,Which word is represented by this picture?,"[u'261', u'260']",1422936325807,1422936327259,1,2,[u'168'],[u'lilan'],[True],"[u'169', u'168']",[1],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,40,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,1452
41,170,lilan means: ,"[u'261', u'260']",1422936327261,1422936327627,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,41,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,366
42,147,Which word is represented by this picture?,"[u'261', u'260']",1422936327629,1422936329050,1,both,[u'144'],[u'nodol'],[True],"[u'144', u'145']",[0],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,42,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,1421
43,146,nodol means:,"[u'261', u'260']",1422936329051,1422936329444,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,43,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,393
44,211,Which word is represented by this picture?,"[u'261', u'260']",1422936329447,1422936330682,1,both,[u'208'],[u'nodolfa'],[True],"[u'209', u'208']",[1],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,44,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,1235
45,210,nodolfa means:,"[u'261', u'260']",1422936330684,1422936331083,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,45,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,399
46,247,Which word is represented by this picture?,"[u'261', u'260']",1422936331086,1422936332531,1,both,[u'244'],[u'pegukfa'],[True],"[u'244', u'245']",[0],A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,46,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,1445
47,246,pegukfa means: ,"[u'261', u'260']",1422936332534,1422936332868,1,,,,,,,A2LD8A4LBTYELX:3FFJ6VRIL1O6O79C7R7CD1WCCSF0IW,47,0,1,3TX9T2ZCB91J431DAZJHV7DNU58WZ6,A2LD8A4LBTYELX,334
