,BlockIDs,Condition,Correct,EndTime,HIT,Iteration,OptionOrder,OptionResources,OptionTexts,PageID,PageResources,PageText,Permutation,SelectedID,SelectedPosition,SelectedText,StartTime,TrialNumber,UniqueID,Version,WorkerID,ReactionTime
0,[u'339'],,,1423171358109,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,,,,338,[],"During experimental questions, you will not be able to use your mouse. Use
the F key to choose the option on the left, the J key to choose the option
on the right, and the spacebar to move forward.",1,,,,1423171356915,0,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,1194
1,[u'341'],,,1423171358469,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,,,,340,[],"In this part of the experiment, you will learn words
from a made-up language. Their meanings will be expressed through pictures. You
will see a picture with two words and be asked to choose which word has the
meaning shown by the picture. At first you will just be guessing, but that's
okay. Try to remember the right answer, and you'll get better with practice.",1,,,,1423171358112,1,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,357
2,"[u'261', u'259']",2,[False],1423171360773,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,"[u'197', u'196']","[[], []]","[u'bubapfa', u'gikemfa']",199,[u'static/images/stim/unicorn-pl.png'],Which word is represented by this picture?,1,[u'197'],[0],[u'bubapfa'],1423171358482,2,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,2291
3,"[u'261', u'259']",,,1423171361852,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,,,,198,[u'static/images/stim/unicorn-pl.png'],gikemfa means:,1,,,,1423171360778,3,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,1074
4,"[u'261', u'259']",both,[True],1423171363684,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,"[u'240', u'241']","[[], []]","[u'nodolfa', u'nodol']",243,[u'static/images/stim/hippopotamus-pl.png'],Which word is represented by this picture?,1,[u'240'],[0],[u'nodolfa'],1423171361856,4,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,1828
5,"[u'261', u'259']",,,1423171364403,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,,,,242,[u'static/images/stim/hippopotamus-pl.png'],nodolfa means: ,1,,,,1423171363686,5,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,717
6,"[u'261', u'259']",2,[False],1423171368323,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,"[u'132', u'133']","[[], []]","[u'gikem', u'bubap']",135,[u'static/images/stim/unicorn.png'],Which word is represented by this picture?,1,[u'133'],[1],[u'bubap'],1423171364405,6,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,3918
7,"[u'261', u'259']",,,1423171369133,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,,,,134,[u'static/images/stim/unicorn.png'],gikem means:,1,,,,1423171368324,7,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,809
8,"[u'261', u'259']",2,[True],1423171371972,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,"[u'169', u'168']","[[], []]","[u'pegukfa', u'peguk']",171,[u'static/images/stim/turkey.png'],Which word is represented by this picture?,1,[u'168'],[1],[u'peguk'],1423171369136,8,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,2836
9,"[u'261', u'259']",,,1423171372364,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,,,,170,[u'static/images/stim/turkey.png'],peguk means: ,1,,,,1423171371974,9,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,390
10,"[u'261', u'259']",both,[True],1423171375844,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,"[u'216', u'217']","[[], []]","[u'bubapfa', u'gikemfa']",219,[u'static/images/stim/ostrich-pl.png'],Which word is represented by this picture?,1,[u'216'],[0],[u'bubapfa'],1423171372367,10,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,3477
11,"[u'261', u'259']",,,1423171376252,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,,,,218,[u'static/images/stim/ostrich-pl.png'],bubapfa means:,1,,,,1423171375846,11,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,406
12,"[u'261', u'259']",2,[False],1423171379331,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,"[u'165', u'164']","[[], []]","[u'gikemfa', u'gikem']",167,[u'static/images/stim/unicorn.png'],Which word is represented by this picture?,1,[u'165'],[0],[u'gikemfa'],1423171376255,12,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,3076
13,"[u'261', u'259']",,,1423171379835,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,,,,166,[u'static/images/stim/unicorn.png'],gikem means: ,1,,,,1423171379332,13,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,503
14,"[u'261', u'259']",2,[True],1423171381763,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,"[u'225', u'224']","[[], []]","[u'beling', u'belingfa']",227,[u'static/images/stim/flower-pl.png'],Which word is represented by this picture?,1,[u'224'],[1],[u'belingfa'],1423171379840,14,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,1923
15,"[u'261', u'259']",,,1423171382315,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,,,,226,[u'static/images/stim/flower-pl.png'],belingfa means: ,1,,,,1423171381765,15,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,550
16,"[u'261', u'259']",both,[False],1423171386011,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,"[u'209', u'208']","[[], []]","[u'belingfa', u'nodolfa']",211,[u'static/images/stim/hippopotamus-pl.png'],Which word is represented by this picture?,1,[u'209'],[0],[u'belingfa'],1423171382318,16,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,3693
17,"[u'261', u'259']",,,1423171386419,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,,,,210,[u'static/images/stim/hippopotamus-pl.png'],nodolfa means:,1,,,,1423171386013,17,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,406
18,"[u'261', u'259']",both,[False],1423171389035,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,"[u'184', u'185']","[[], []]","[u'bubap', u'bubapfa']",187,[u'static/images/stim/ostrich.png'],Which word is represented by this picture?,1,[u'185'],[1],[u'bubapfa'],1423171386424,18,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,2611
19,"[u'261', u'259']",,,1423171389418,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,,,,186,[u'static/images/stim/ostrich.png'],bubap means: ,1,,,,1423171389038,19,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,380
20,"[u'261', u'259']",both,[True],1423171391090,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,"[u'156', u'157']","[[], []]","[u'lilan', u'guton']",159,[u'static/images/stim/icecream.png'],Which word is represented by this picture?,1,[u'156'],[0],[u'lilan'],1423171389420,20,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,1670
21,"[u'261', u'259']",,,1423171391514,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,,,,158,[u'static/images/stim/icecream.png'],lilan means:,1,,,,1423171391092,21,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,422
22,"[u'261', u'259']",both,[True],1423171394115,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,"[u'188', u'189']","[[], []]","[u'lilan', u'lilanfa']",191,[u'static/images/stim/icecream.png'],Which word is represented by this picture?,1,[u'188'],[0],[u'lilan'],1423171391516,22,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,2599
23,"[u'261', u'259']",,,1423171394579,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,,,,190,[u'static/images/stim/icecream.png'],lilan means: ,1,,,,1423171394116,23,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,463
24,"[u'261', u'259']",2,[False],1423171396570,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,"[u'229', u'228']","[[], []]","[u'gikem', u'gikemfa']",231,[u'static/images/stim/unicorn-pl.png'],Which word is represented by this picture?,1,[u'229'],[0],[u'gikem'],1423171394581,24,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,1989
25,"[u'261', u'259']",,,1423171396979,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,,,,230,[u'static/images/stim/unicorn-pl.png'],gikemfa means: ,1,,,,1423171396573,25,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,406
26,"[u'261', u'259']",both,[False],1423171399994,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,"[u'220', u'221']","[[], []]","[u'lilanfa', u'bubapfa']",223,[u'static/images/stim/icecream-pl.png'],Which word is represented by this picture?,1,[u'221'],[1],[u'bubapfa'],1423171396983,26,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,3011
27,"[u'261', u'259']",,,1423171400354,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,,,,222,[u'static/images/stim/icecream-pl.png'],lilanfa means:,1,,,,1423171399996,27,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,358
28,"[u'261', u'259']",both,[True],1423171405557,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,"[u'141', u'140']","[[], []]","[u'gikem', u'kanit']",143,[u'static/images/stim/window.png'],Which word is represented by this picture?,1,[u'140'],[1],[u'kanit'],1423171400357,28,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,5200
29,"[u'261', u'259']",,,1423171405917,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,,,,142,[u'static/images/stim/window.png'],kanit means:,1,,,,1423171405559,29,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,358
30,"[u'261', u'259']",both,[True],1423171407152,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,"[u'152', u'153']","[[], []]","[u'bubap', u'kanit']",155,[u'static/images/stim/ostrich.png'],Which word is represented by this picture?,1,[u'152'],[0],[u'bubap'],1423171405919,30,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,1233
31,"[u'261', u'259']",,,1423171407558,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,,,,154,[u'static/images/stim/ostrich.png'],bubap means:,1,,,,1423171407153,31,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,405
32,"[u'261', u'259']",both,[True],1423171409045,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,"[u'144', u'145']","[[], []]","[u'nodol', u'lilan']",147,[u'static/images/stim/hippopotamus.png'],Which word is represented by this picture?,1,[u'144'],[0],[u'nodol'],1423171407563,32,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,1482
33,"[u'261', u'259']",,,1423171409460,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,1,,,,146,[u'static/images/stim/hippopotamus.png'],nodol means:,1,,,,1423171409047,33,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,413
34,"[u'261', u'259']",2,[True],1423171411829,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,2,"[u'168', u'169']","[[], []]","[u'peguk', u'pegukfa']",171,[u'static/images/stim/turkey.png'],Which word is represented by this picture?,1,[u'168'],[0],[u'peguk'],1423171409465,34,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,2364
35,"[u'261', u'259']",,,1423171412182,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,2,,,,170,[u'static/images/stim/turkey.png'],peguk means: ,1,,,,1423171411831,35,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,351
36,"[u'261', u'259']",both,[False],1423171413702,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,2,"[u'221', u'220']","[[], []]","[u'bubapfa', u'lilanfa']",223,[u'static/images/stim/icecream-pl.png'],Which word is represented by this picture?,1,[u'221'],[0],[u'bubapfa'],1423171412185,36,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,1517
37,"[u'261', u'259']",,,1423171414077,3WYZV0QBFJD2B53NEQZ0B8KRC8OBXC,2,,,,222,[u'static/images/stim/icecream-pl.png'],lilanfa means:,1,,,,1423171413703,37,A2LD8A4LBTYELX:3FQ5JJ512LO0FYR780UM1T72CQRNKJ,0,A2LD8A4LBTYELX,374
