,Alternates,BlockIDs,Condition,Correct,EndTime,HIT,Iteration,Number,OptionOrder,OptionResources,OptionTexts,PageID,PageResources,PageText,Permutation,Segment,SelectedID,SelectedPosition,SelectedText,StartTime,TrialNumber,UniqueID,Version,Violates,Wordbank,WorkerID,alternates,nasal_segment,segment,voice_segment,ReactionTime
0,,[u'561'],,,1425530729394,35ZRNT9RUIYAE1LIY6XYACVND1SO3W,1,,,,,560,[],"During experimental questions, you will not be able to use your mouse. Use
the F key to choose the option on the left, the J key to choose the option
on the right, and the spacebar to move forward.",0,,,,,1425530725989,0,A2B5GFYJGMOI36:3H7Z272LX77B2PL29FJFKIPC17FLP2,0,,,A2B5GFYJGMOI36,,,,,3405
1,,[u'563'],,,1425530731987,35ZRNT9RUIYAE1LIY6XYACVND1SO3W,1,,,,,562,[],"In this part of the experiment, you will learn words
from a made-up language. Their meanings will be expressed through pictures.
<br><br>
You will see a picture with two words and be asked to choose which word has the
meaning shown by the picture. At first you will just be guessing, but that's
okay. Try to remember the right answer, and you'll get better with practice.
<br><br>
Remember: in this language, ""ng"" is always pronounced as in ""singer"", never
as in ""finger"".",0,,,,,1425530729397,1,A2B5GFYJGMOI36:3H7Z272LX77B2PL29FJFKIPC17FLP2,0,,,A2B5GFYJGMOI36,,,,,2590
2,,"[u'402', u'400']",voice,[True],1425530738592,35ZRNT9RUIYAE1LIY6XYACVND1SO3W,1,"[u'singular', u'singular']","[u'52', u'53']","[[], []]","[u'sobud', u'sobutfa']",55,[u'static/images/stim/hamster.png'],Which word is represented by this picture?,0,,[u'52'],[0],[u'sobud'],1425530731991,2,A2B5GFYJGMOI36:3H7Z272LX77B2PL29FJFKIPC17FLP2,0,,"[u'words1', u'words1']",A2B5GFYJGMOI36,,,,,6601
3,,"[u'402', u'400']",,,1425530740143,35ZRNT9RUIYAE1LIY6XYACVND1SO3W,1,,,,,54,[u'static/images/stim/hamster.png'],sobud means: ,0,,,,,1425530738594,3,A2B5GFYJGMOI36:3H7Z272LX77B2PL29FJFKIPC17FLP2,0,,,A2B5GFYJGMOI36,,,,,1549
4,,"[u'402', u'400']",voice,[True],1425530742895,35ZRNT9RUIYAE1LIY6XYACVND1SO3W,1,"[u'plural', u'plural']","[u'133', u'132']","[[], []]","[u'sobud', u'sobutfa']",135,[u'static/images/stim/hamster-pl.png'],Which word is represented by this picture?,0,,[u'132'],[1],[u'sobutfa'],1425530740145,4,A2B5GFYJGMOI36:3H7Z272LX77B2PL29FJFKIPC17FLP2,0,,"[u'words1', u'words1']",A2B5GFYJGMOI36,,,,,2750
5,,"[u'402', u'400']",,,1425530745719,35ZRNT9RUIYAE1LIY6XYACVND1SO3W,1,,,,,134,[u'static/images/stim/hamster-pl.png'],sobutfa means: ,0,,,,,1425530742897,5,A2B5GFYJGMOI36:3H7Z272LX77B2PL29FJFKIPC17FLP2,0,,,A2B5GFYJGMOI36,,,,,2822
6,,"[u'402', u'400']",voice,[True],1425530750343,35ZRNT9RUIYAE1LIY6XYACVND1SO3W,1,"[u'singular', u'singular']","[u'41', u'40']","[[], []]","[u'bupfutfa', u'bupfud']",43,[u'static/images/stim/hourglass.png'],Which word is represented by this picture?,0,,[u'40'],[1],[u'bupfud'],1425530745723,6,A2B5GFYJGMOI36:3H7Z272LX77B2PL29FJFKIPC17FLP2,0,,"[u'words1', u'words1']",A2B5GFYJGMOI36,,,,,4620
7,,"[u'402', u'400']",,,1425530751343,35ZRNT9RUIYAE1LIY6XYACVND1SO3W,1,,,,,42,[u'static/images/stim/hourglass.png'],bupfud means: ,0,,,,,1425530750345,7,A2B5GFYJGMOI36:3H7Z272LX77B2PL29FJFKIPC17FLP2,0,,,A2B5GFYJGMOI36,,,,,998
8,,"[u'402', u'400']",voice,[True],1425530753767,35ZRNT9RUIYAE1LIY6XYACVND1SO3W,1,"[u'singular', u'singular']","[u'0', u'1']","[[], []]","[u'bupfud', u'sobud']",3,[u'static/images/stim/hourglass.png'],Which word is represented by this picture?,0,,[u'0'],[0],[u'bupfud'],1425530751345,8,A2B5GFYJGMOI36:3H7Z272LX77B2PL29FJFKIPC17FLP2,0,,"[u'words1', u'words1']",A2B5GFYJGMOI36,,,,,2422
9,,"[u'402', u'400']",,,1425530754823,35ZRNT9RUIYAE1LIY6XYACVND1SO3W,1,,,,,2,[u'static/images/stim/hourglass.png'],bupfud means:,0,,,,,1425530753768,9,A2B5GFYJGMOI36:3H7Z272LX77B2PL29FJFKIPC17FLP2,0,,,A2B5GFYJGMOI36,,,,,1055
