,PageID,PageText,BlockIDs,StartTime,EndTime,Iteration,Condition,SelectedID,SelectedText,Correct,OptionOrder,SelectedPosition,UniqueID,TrialNumber,Version,Permutation,HIT,WorkerID,ReactionTime
0,206,"During experimental questions, you will not be able to use your mouse. Use
the F key to choose the option on the left, the J key to choose the option
on the right, and the spacebar to move forward.",[u'207'],1422343203110,1422343204791,1,,,,,,,debugA33IT6:debug3RDIGV,0,0,0,debugR43UT1,debugA33IT6,1681
1,208,"In this part of the experiment, you will learn words
from a made-up language. Their meanings will be expressed through pictures. You
will see a picture with two words and be asked to choose which word has the
meaning shown by the picture. At first you will just be guessing, but that's
okay. Try to remember the right answer, and you'll get better with practice.",[u'209'],1422343204795,1422343205246,1,,,,,,,debugA33IT6:debug3RDIGV,1,0,0,debugR43UT1,debugA33IT6,451
2,15,Which word is represented by this picture?,[u'128'],1422343272459,1422343274566,2,both,[u'12'],[u'gikem'],[True],"[u'13', u'12']",[1],debugA33IT6:debug3RDIGV,2,0,0,debugR43UT1,debugA33IT6,2107
3,15,Which word is represented by this picture?,[u'128'],1422343272459,1422343274566,2,both,[u'12'],[u'gikem'],[True],"[u'13', u'12']",[1],debugA33IT6:debug3RDIGV,3,0,0,debugR43UT1,debugA33IT6,2107
4,14,gikem means:,[u'128'],1422343274568,1422343275157,2,,,,,,,debugA33IT6:debug3RDIGV,4,0,0,debugR43UT1,debugA33IT6,589
5,14,gikem means:,[u'128'],1422343274568,1422343275157,2,,,,,,,debugA33IT6:debug3RDIGV,5,0,0,debugR43UT1,debugA33IT6,589
6,27,Which word is represented by this picture?,[u'128'],1422343275159,1422343277302,2,both,[u'24'],[u'pakug'],[True],"[u'25', u'24']",[1],debugA33IT6:debug3RDIGV,6,0,0,debugR43UT1,debugA33IT6,2143
7,27,Which word is represented by this picture?,[u'128'],1422343275159,1422343277302,2,both,[u'24'],[u'pakug'],[True],"[u'25', u'24']",[1],debugA33IT6:debug3RDIGV,7,0,0,debugR43UT1,debugA33IT6,2143
8,26,pakug means:,[u'128'],1422343277304,1422343277926,2,,,,,,,debugA33IT6:debug3RDIGV,8,0,0,debugR43UT1,debugA33IT6,622
9,26,pakug means:,[u'128'],1422343277304,1422343277926,2,,,,,,,debugA33IT6:debug3RDIGV,9,0,0,debugR43UT1,debugA33IT6,622
10,23,Which word is represented by this picture?,[u'128'],1422343277930,1422343282403,2,both,[u'20'],[u'nineb'],[True],"[u'20', u'21']",[0],debugA33IT6:debug3RDIGV,10,0,0,debugR43UT1,debugA33IT6,4473
11,23,Which word is represented by this picture?,[u'128'],1422343277930,1422343282403,2,both,[u'20'],[u'nineb'],[True],"[u'20', u'21']",[0],debugA33IT6:debug3RDIGV,11,0,0,debugR43UT1,debugA33IT6,4473
12,22,nineb means:,[u'128'],1422343282405,1422343282876,2,,,,,,,debugA33IT6:debug3RDIGV,12,0,0,debugR43UT1,debugA33IT6,471
13,22,nineb means:,[u'128'],1422343282405,1422343282876,2,,,,,,,debugA33IT6:debug3RDIGV,13,0,0,debugR43UT1,debugA33IT6,471
14,59,Which word is represented by this picture?,[u'128'],1422343282879,1422343284580,2,both,[u'56'],[u'pakugfa'],[True],"[u'56', u'57']",[0],debugA33IT6:debug3RDIGV,14,0,0,debugR43UT1,debugA33IT6,1701
15,59,Which word is represented by this picture?,[u'128'],1422343282879,1422343284580,2,both,[u'56'],[u'pakugfa'],[True],"[u'56', u'57']",[0],debugA33IT6:debug3RDIGV,15,0,0,debugR43UT1,debugA33IT6,1701
16,58,pakugfa means:,[u'128'],1422343284582,1422343285196,2,,,,,,,debugA33IT6:debug3RDIGV,16,0,0,debugR43UT1,debugA33IT6,614
17,58,pakugfa means:,[u'128'],1422343284582,1422343285196,2,,,,,,,debugA33IT6:debug3RDIGV,17,0,0,debugR43UT1,debugA33IT6,614
18,19,Which word is represented by this picture?,[u'128'],1422343285198,1422343286628,2,both,[u'16'],[u'nodol'],[True],"[u'16', u'17']",[0],debugA33IT6:debug3RDIGV,18,0,0,debugR43UT1,debugA33IT6,1430
19,19,Which word is represented by this picture?,[u'128'],1422343285198,1422343286628,2,both,[u'16'],[u'nodol'],[True],"[u'16', u'17']",[0],debugA33IT6:debug3RDIGV,19,0,0,debugR43UT1,debugA33IT6,1430
20,18,nodol means:,[u'128'],1422343286630,1422343287132,2,,,,,,,debugA33IT6:debug3RDIGV,20,0,0,debugR43UT1,debugA33IT6,502
21,18,nodol means:,[u'128'],1422343286630,1422343287132,2,,,,,,,debugA33IT6:debug3RDIGV,21,0,0,debugR43UT1,debugA33IT6,502
22,63,Which word is represented by this picture?,[u'128'],1422343287135,1422343288835,2,both,[u'60'],[u'kanitfa'],[True],"[u'60', u'61']",[0],debugA33IT6:debug3RDIGV,22,0,0,debugR43UT1,debugA33IT6,1700
23,63,Which word is represented by this picture?,[u'128'],1422343287135,1422343288835,2,both,[u'60'],[u'kanitfa'],[True],"[u'60', u'61']",[0],debugA33IT6:debug3RDIGV,23,0,0,debugR43UT1,debugA33IT6,1700
24,62,kanitfa means:,[u'128'],1422343288837,1422343289260,2,,,,,,,debugA33IT6:debug3RDIGV,24,0,0,debugR43UT1,debugA33IT6,423
25,62,kanitfa means:,[u'128'],1422343288837,1422343289260,2,,,,,,,debugA33IT6:debug3RDIGV,25,0,0,debugR43UT1,debugA33IT6,423
26,43,Which word is represented by this picture?,[u'128'],1422343289263,1422343291547,2,1,[u'40'],[u'mupidfa'],[True],"[u'41', u'40']",[1],debugA33IT6:debug3RDIGV,26,0,0,debugR43UT1,debugA33IT6,2284
27,43,Which word is represented by this picture?,[u'128'],1422343289263,1422343291547,2,1,[u'40'],[u'mupidfa'],[True],"[u'41', u'40']",[1],debugA33IT6:debug3RDIGV,27,0,0,debugR43UT1,debugA33IT6,2284
28,42,mupidfa means:,[u'128'],1422343291550,1422343292147,2,,,,,,,debugA33IT6:debug3RDIGV,28,0,0,debugR43UT1,debugA33IT6,597
29,42,mupidfa means:,[u'128'],1422343291550,1422343292147,2,,,,,,,debugA33IT6:debug3RDIGV,29,0,0,debugR43UT1,debugA33IT6,597
30,31,Which word is represented by this picture?,[u'128'],1422343292151,1422343293996,2,both,[u'28'],[u'kanit'],[True],"[u'29', u'28']",[1],debugA33IT6:debug3RDIGV,30,0,0,debugR43UT1,debugA33IT6,1845
31,31,Which word is represented by this picture?,[u'128'],1422343292151,1422343293996,2,both,[u'28'],[u'kanit'],[True],"[u'29', u'28']",[1],debugA33IT6:debug3RDIGV,31,0,0,debugR43UT1,debugA33IT6,1845
32,30,kanit means:,[u'128'],1422343293998,1422343294412,2,,,,,,,debugA33IT6:debug3RDIGV,32,0,0,debugR43UT1,debugA33IT6,414
33,30,kanit means:,[u'128'],1422343293998,1422343294412,2,,,,,,,debugA33IT6:debug3RDIGV,33,0,0,debugR43UT1,debugA33IT6,414
34,55,Which word is represented by this picture?,[u'128'],1422343294414,1422343303270,2,both,[u'52'],[u'ninebfa'],[True],"[u'53', u'52']",[1],debugA33IT6:debug3RDIGV,34,0,0,debugR43UT1,debugA33IT6,8856
35,55,Which word is represented by this picture?,[u'128'],1422343294414,1422343303270,2,both,[u'52'],[u'ninebfa'],[True],"[u'53', u'52']",[1],debugA33IT6:debug3RDIGV,35,0,0,debugR43UT1,debugA33IT6,8856
36,54,ninebfa means:,[u'128'],1422343303272,1422343303829,2,,,,,,,debugA33IT6:debug3RDIGV,36,0,0,debugR43UT1,debugA33IT6,557
37,54,ninebfa means:,[u'128'],1422343303272,1422343303829,2,,,,,,,debugA33IT6:debug3RDIGV,37,0,0,debugR43UT1,debugA33IT6,557
38,3,Which word is represented by this picture?,[u'128'],1422343303832,1422343307476,2,1,[u'0'],[u'peguk'],[True],"[u'0', u'1']",[0],debugA33IT6:debug3RDIGV,38,0,0,debugR43UT1,debugA33IT6,3644
39,3,Which word is represented by this picture?,[u'128'],1422343303832,1422343307476,2,1,[u'0'],[u'peguk'],[True],"[u'0', u'1']",[0],debugA33IT6:debug3RDIGV,39,0,0,debugR43UT1,debugA33IT6,3644
40,2,peguk means:,[u'128'],1422343307478,1422343308070,2,,,,,,,debugA33IT6:debug3RDIGV,40,0,0,debugR43UT1,debugA33IT6,592
41,2,peguk means:,[u'128'],1422343307478,1422343308070,2,,,,,,,debugA33IT6:debug3RDIGV,41,0,0,debugR43UT1,debugA33IT6,592
42,11,Which word is represented by this picture?,[u'128'],1422343308073,1422343309822,2,1,[u'8'],[u'mupid'],[True],"[u'8', u'9']",[0],debugA33IT6:debug3RDIGV,42,0,0,debugR43UT1,debugA33IT6,1749
